昵称,地区,性别,评论
会飞的兔子825,上海,女,啊啊啊啊啊啊啊啊刘亦菲啊。你终于出现啦[太开心][太开心][太开心][太开心][可爱]
一盅盅,浙江,女,帅爆了，姐(づ′▽`)づ
你的小泥,辽宁,女,宝宝！
刘亦菲室友,天津,男,老婆好酷[喵喵]
甜桔icc,浙江,女,老婆好酷啊[求关注][求关注][求关注][求关注]
刘亦菲追了我三条街,陕西,女,啊啊啊啊，宝贝你好酷[好爱哦][好爱哦][好爱哦]
LydiaLee11,天津,女,老公想你了[可怜][心]
NABIANIM,江苏,女,演女战士行不行啊我靠  这后坐力我被帅鼠
4pm_cc,北京,女,想你了姐姐！
形亦不离825,浙江,女,老婆好棒[心]
贺贺呵,浙江,男,酷酷姐[爱慕][爱慕][爱慕]
Deerary,陕西,女,老婆呀！！
無糖唔该,广东,女,射进我心里💘
梁鸣,北京,男,好帅！[赞]
形亦不离825,浙江,女,刘亦菲进组[心]
啦咯啦咯咯啦,广东,女,啊啊啊啊你来啦[心][心][心]
刘亦菲追了我三条街,陕西,女,宝贝下午好，好久不见[好喜欢][好喜欢][好喜欢]
做个小飞象,四川,女,老公好帅[抱一抱]
旧时光里初心豪迈,重庆,女,太厉害了，怎么能够这么酷
绮囹,海南,男,好厉害的枪法[爱慕][爱慕][爱慕]
三斩,河南,男,老婆老婆[黄玫瑰][黄玫瑰][黄玫瑰]
浅浅一羽,山东,女,真帅
榴莲炒Ro丝,浙江,女,好想你[哇][哇]@刘亦菲
蓝·星云,广东,女,啊啊啊啊，太酷啦！！！[黄玫瑰]
摆烂十一在线摆烂_,北京,女,我嘞个豆，太帅了吧
一一今今一一,美国,女,我服了！！给她安排这种戏！！想看！！！
EzraSu,河南,女,啊啊啊啊啊好酷 http://t.cn/A6ncp3tO
俞鱼鱼cc,辽宁,男,姐姐好酷！[泪]
我想起你的频率比从前更甚,江苏,女,老婆
陳嘉上Gordon,四川,男,[酷]
稀奇柿饼,广东,女,啊啊啊啊啊啊姐姐好酷[爱慕][爱慕]
榴莲炒Ro丝,浙江,女,啊啊啊啊宝宝[彩虹屁][彩虹屁][彩虹屁]
YOYO呦呦鹿鸣,广东,女,好帅
迷失在国分寺,四川,女,帅死了[泪][泪][泪]
安静自由冲浪灬,河南,女,射我[泪][泪][泪][泪]
是兰因璧月不是兰因絮果,浙江,男,我觉得是这样的，这种技术活就是需要每天练才能进步，这边建议你每天发一个视频记录一下，等什么时候每一枪都中，你就出师了（好帅啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊）
夜空中最亮的星茜,安徽,女,宝是要进组来吗[舔屏][偷笑]
迷鹭爱吃虾的橙子,广东,女,老公 我来啦啦啦
rainbow-仙,浙江,女,帅女人[求关注]
Moro90,广东,女,厉害👍🏻[心][心]
她让她们期待,河北,女,姐姐好帅！！。
肖亦笙,四川,女,成为刘亦菲的梦女就像呼吸一样简单
迷鹭爱吃虾的橙子,广东,女,姐姐  对着我[舔屏][舔屏][舔屏][舔屏][喵喵][喵喵][喵喵][喵喵]@刘亦菲 http://t.cn/A6ncpmFK
缪斯菲神,甘肃,女,这迷人的小腰精[哈哈] http://t.cn/A6ncpBn0
归了君的日常,江苏,男,你的刘亦菲突然出现，并带了一把机枪😎[doge]
崩溃版-一只萌哒哒的呆呆,辽宁,女,老婆好酷[舔屏][舔屏][舔屏]
寒冬中缭乱的冰,广东,女,懂了，下一部是枪战动作戏，赶紧进组吧。
会飞的兔子825,上海,女,刘亦菲我是你的靶子 射我吧！[太开心][太开心]
爱吃菠萝的宋bangbang,重庆,女,想要一个前排让我老婆看见[doge]
刘亦菲修仙事务所,江西,女,#刘亦菲[超话]# #刘亦菲# [哇][哇]酷，“神枪手”茜姐上线[哈哈][哈哈]
W-钦钦小楚,西藏,女,老婆酷酷哒～[送花花][送花花][送花花]
縈紆噗噗噗噗噗,山东,男,一枪打在我心上[抱一抱]
宇宙里的鲸鱼,上海,女,啊啊啊啊会动的的老婆@刘亦菲 http://t.cn/A6ncpm2o
一一向伊,湖北,女,老婆好酷
麓崎,福建,男,老公你好帅啊啊啊啊
唐亦韵ICC,广东,女,[允悲][允悲][允悲]
睡到4pm的黄亦玫,上海,男,宝宝好想你[爱你][爱你][爱你] http://t.cn/A6ncprCc
小翟天天开心bo,陕西,女,老婆[开学季][开学季][开学季][开学季][开学季]你是真正的大女人[黄玫瑰][黄玫瑰][黄玫瑰]
陪金秀贤渡过漫长岁月Crystal,湖北,女,老婆[舔屏]好酷啊，爱你😍 http://t.cn/A6ncpENM
嘻嘻嘻哦礼酱,江苏,女,女人中的女人[送花花][送花花][送花花]
宿九微,江苏,女,好帅[哇][哇]
胡阿猫,江苏,女,啊啊啊啊啊啊啊老婆姐 你来啦
CC喜踏北方雪,山东,女,这个喷不了，打的太爽了，拉子看了发神经，侄女看了断月经，这简直是抑郁症的克星，植物人的闹铃 老婆 [爱你][爱你][爱你][爱你]
雨離是个小可爱,广东,女,姐，你可太帅啦！！！
狗的烦恼,湖北,女,酷[春游家族]
peterdugood,天津,男,哈哈太能甜美秀时光，幸福快乐菲健康！[赞啊][doge][饼香人团圆][心][笑cry]
Lily爱蕊蕊,广东,女,啊啊啊啊啊，太帅啦！！！
银河系MjoFanX_0420,福建,女,神枪手姐姐
花海吹来的风儿,北京,女,帅飞了[举花铃][举花铃]
想你玫亦天_4pm,湖南,女,啊啊啊 老婆好帅好喜欢[舔屏]
形亦不离825,浙江,女,爱你老婆
仙女作,浙江,女,老婆老婆[心][心]
TuToouii_,湖北,女,终于[泪][泪][泪][泪]出现了
有人叫我ppt,江苏,女,牛🐮
白少爷很帅吧,湖南,女,枪枪中靶呀  你太厉害了吧[抱一抱]
清色的潭水,湖北,女,好酷啊[求饶]
嘉懿吸仙指北,北京,女,天仙攻啊啊啊啊啊😭
银河系MjoFanX_0420,福建,女,宝宝宝宝宝宝宝宝宝失踪人口回来了
茜茜求你设置自动回复叭,湖南,女,太酷了！老婆
fei甜不可,尼日利亚,女,帅气[爱你][爱你]@刘亦菲
是兰因璧月不是兰因絮果,浙江,男,晚安了大帅哥[酷][酷][酷][酷][酷]
刘亦菲室友,天津,男,神枪手快去拍电影@刘亦菲 [可怜]
-2choose1_,山东,女,老公啊啊啊
白少爷很帅吧,湖南,女,老婆厉害了  这么重的都能驾驭[相爱]
吞一口阿梨,浙江,女,老婆！帅哭了！#刘亦菲练射击好帅#
Rosa_hybrida_Turtur,北京,女,帅老公[哇][舔屏]
银河系MjoFanX_0420,福建,女,啊啊啊啊姐姐好酷我好爱[心]
燕斋沙啦啦_icc,广东,女,啊啊啊啊好酷！好酷的刘亦菲！[哇][哇][哇]
